lattice,version,AR,Asp,CA,EC,EL,EO,KSM,NP,NEO,NR,NU,energy,hand,additive
7,sup_inf_attribute,0.5644723117561998,0.5976324456181206,1.0,1.0,0.8515125788749636,0.5223734040569883,0.8032057830596073,0.5789473684210527,1.0,0.2946012193881398,0.7142857142857143,2199.58928630446,1.43,True
7,sup_inf_doubly,0.53914628801563,0.6553579615091418,1.0,1.0,0.8740530492090379,0.4346978630468906,0.8001485708678493,0.4285714285714285,1.0,0.2523085208425868,0.5714285714285714,2113.7379463120083,1.92,True
7,dim_draw,0.5,0.8333333333333336,1.0,1.0,0.731476909740667,0.3731073756598062,0.7441230582787631,0.4285714285714285,1.0,0.1666666666666664,0.5714285714285714,2173.0417769559403,1.07,True
7,dim_flux,0.5424408375655648,0.648422112209662,1.0,1.0,0.8734205038204249,0.4322682323647707,0.8010744208769033,0.4285714285714285,1.0,0.2495862687245054,0.5714285714285714,2122.944964168497,2.01,True
8,hand_drawn,0.625,0.5,1.0,1.0,0.8626300335020142,0.4,0.8249124165652475,0.5,1.0,0.25,0.7142857142857143,3551.361361870483,0.0,True
8,sup_inf_attribute,0.7902751807910448,0.5498412518506887,1.0,1.0,0.9859209700929588,0.5586641334962754,0.8452233609242573,0.44,1.0,0.3054651526419252,0.8571428571428572,3194.2214813054197,1.01,True
8,sup_inf_doubly,0.7799301734088937,0.6377858423286239,1.0,1.0,0.929859028983671,0.4908737339466023,0.8442984991314718,0.5652173913043478,1.0,0.3054304685880458,0.4285714285714286,3141.288890670226,1.33,True
8,dim_draw,0.6538579383763043,0.8571428571428573,1.0,1.0,0.7772792644287745,0.2733527172522445,0.8169827734817314,0.5652173913043478,1.0,0.1428571428571428,0.8571428571428572,3184.1019461456003,1.59,True
8,dim_flux,0.7808736236724658,0.637824608643365,1.0,1.0,0.9298270680917036,0.4962353567171869,0.8442929520366549,0.5652173913043478,1.0,0.3054384437210083,0.4285714285714286,3142.138026931112,1.26,True
9,hand_drawn,0.5,0.5,1.0,0.9607843137254902,0.8648653424108975,0.3846153846153846,0.7584091852789804,0.2941176470588235,1.0,0.25,0.75,5889.180348695309,0.0,True
9,sup_inf_attribute,0.5481945948833732,0.5458017533749131,0.9036107927799376,0.9607843137254902,0.8660369163338909,0.443668785721338,0.761136614526368,0.3333333333333333,1.0,0.2203779397745644,0.75,5738.813322913445,0.45,True
9,sup_inf_doubly,0.5481946215668153,0.5457894629967555,0.9036107560329482,0.9607843137254902,0.8660368919173963,0.4436931795615672,0.7611366318188888,0.3333333333333333,1.0,0.2203779490098076,0.75,5738.812936887761,0.45,True
9,dim_draw,0.5577158767526091,0.7500000000000004,0.8845682464947819,0.9607843137254902,0.7564721292856172,0.4556503098493647,0.7636023313060704,0.3333333333333333,1.0,0.125,0.75,5978.348092321398,2.02,True
9,dim_flux,0.5481946216713767,0.5456684355845923,0.9036107559448312,0.9607843137254902,0.8660368916631564,0.4439318417249847,0.7611366326919209,0.3333333333333333,1.0,0.220377948706279,0.75,5738.813586263714,0.45,True
10,hand_drawn,0.5,0.75,1.0,1.0,0.7080438490989563,0.3333333333333333,0.7429689285003748,0.7142857142857143,1.0,0.25,0.8,1055.4822219670525,0.0,True
10,sup_inf_attribute,0.6547280975197007,0.9914211973232728,1.0,1.0,0.8388316847576931,0.3274092199942245,0.8225551500047971,0.8461538461538461,1.0,0.3780906987330113,1.0,845.8392276733907,3.50,True
10,sup_inf_doubly,0.5145880428842613,0.8023942182845764,1.0,1.0,0.8413708709605066,0.3672102517152007,0.8630046981906945,1.0,1.0,0.3583964004627003,0.8,900.6696665493547,2.44,True
10,dim_draw,0.4660249801873034,0.8000000000000002,1.0,1.0,0.6677041525958967,0.455587862087074,0.6863001465520107,0.7142857142857143,1.0,0.2,0.4,1153.2449424218064,0.78,True
10,dim_flux,0.5403815246169406,0.7389220864605628,1.0,1.0,0.7518660266900606,0.3812625007777729,0.7982376322286114,0.7142857142857143,1.0,0.3188637228369386,0.8,980.4240971771465,0.94,True
11,hand_drawn,0.5,0.6666666666666666,1.0,1.0,0.8739280816353336,0.3333333333333333,0.8898064400736305,1.0,1.0,0.3333333333333333,1.0,926.8240473238249,0.0,True
11,sup_inf_attribute,0.6596748356159515,0.693947073873835,1.0,1.0,0.7841747817271957,0.4791447373913186,0.8141641612512776,0.8461538461538461,1.0,0.3115578826551022,0.8,968.0447645753057,1.56,True
11,sup_inf_doubly,0.5121741536854529,0.6686737174721322,1.0,1.0,0.9004446851757854,0.3494644992646961,0.8999100980516667,1.0,1.0,0.3571289966054133,1.0,912.4975016694318,0.12,True
11,dim_draw,0.5,0.8,1.0,1.0,0.7319441508020811,0.3333333333333333,0.8289677419726574,1.0,1.0,0.2,1.0,1015.4198367095124,0.94,True
11,dim_flux,0.495499589979183,0.6599489883886928,1.0,1.0,0.8735718630846327,0.3496464003896173,0.8865087534381841,1.0,1.0,0.3315127664214903,1.0,932.0597856072495,0.12,True
12,hand_drawn,0.4375,0.8333333333333334,1.0,1.0,0.8078667748011418,0.2857142857142857,0.7332936066129274,0.4444444444444444,1.0,0.3333333333333333,0.8,1259.0411745410627,0.0,True
12,sup_inf_attribute,0.7488522536107589,0.8820039790190229,1.0,1.0,0.7766612726029518,0.3181190546345378,0.7239848922360465,0.5294117647058824,1.0,0.3053249433028234,0.6,1089.662710371668,3.25,True
12,sup_inf_doubly,0.5844785552717381,0.9705855772033548,1.0,1.0,0.8484533016359261,0.3181955805178423,0.7593974808825882,0.5294117647058824,1.0,0.3733067782713562,0.8,1080.8830905680359,1.87,True
12,dim_draw,0.5137630528101498,1.0,1.0,1.0,0.7565134242297153,0.2835512864683501,0.7200169431224035,0.4444444444444444,1.0,0.3587657610295729,0.8,1211.6686329903273,1.03,True
12,dim_flux,0.5964808644444116,0.9751527194337292,1.0,1.0,0.8372040405712955,0.2939253513938521,0.7545433251359898,0.5294117647058824,1.0,0.3680511130700076,0.8,1095.6628080193118,1.69,True
13,hand_drawn,0.625,1.0,1.0,1.0,0.7692307692307692,0.0,0.7409655286475014,0.5789473684210527,1.0,0.3535533905932738,0.5714285714285714,1766.3439474984834,0.0,True
13,sup_inf_attribute,0.687506905509522,0.9857975998174008,1.0,1.0,0.8323362690018077,0.3247163570298098,0.7534315439212455,0.5789473684210527,1.0,0.3465679875398395,0.7142857142857143,1626.6761970226862,1.98,True
13,sup_inf_doubly,0.5754741592804874,0.9400530010715508,1.0,1.0,0.854990844895421,0.2771971412195585,0.777300890018738,0.5789473684210527,1.0,0.3730838924733067,0.7142857142857143,1620.6856135648802,1.37,True
13,dim_draw,0.521917701272431,0.9999999999999998,1.0,1.0,0.6845708376463943,0.2336661098678699,0.6816359374929919,0.5789473684210527,1.0,0.3004626062886657,0.5714285714285714,1939.0982260868352,1.67,True
13,dim_flux,0.5756837526413847,0.9419768939788582,1.0,1.0,0.8594460025652227,0.2796925493278038,0.7779667226823103,0.5789473684210527,1.0,0.3761918675678812,0.8571428571428572,1614.7169251521143,1.42,True
14,hand_drawn,0.5,0.625,1.0,1.0,0.7881736857080591,0.3333333333333333,0.8381372100012934,0.8461538461538461,1.0,0.25,0.6,1127.2016312483988,0.0,True
14,sup_inf_attribute,0.6289658050445319,0.6174749762435745,1.0,1.0,0.8962254871318577,0.3754504171550212,0.8794554083368248,0.8461538461538461,1.0,0.304446081749108,0.6,1062.2942070302283,2.52,True
14,sup_inf_doubly,0.5236512411786511,0.4977132695483848,1.0,1.0,0.9165165774964188,0.5066359037705421,0.9054345953862896,0.8461538461538461,1.0,0.3110434349327015,0.6,1121.477347273011,1.89,True
14,dim_draw,0.4371670418109987,0.6,1.0,1.0,0.7474464010011093,0.4171106109186683,0.7894051144217745,0.7142857142857143,1.0,0.1999999999999999,0.6,1206.7581165848292,0.57,True
14,dim_flux,0.5231771086520796,0.4843928795055895,1.0,1.0,0.9214253896014958,0.5083023704865455,0.899889356469159,0.8461538461538461,1.0,0.305543707172991,0.8,1138.39792900359,1.84,True
15,hand_drawn,0.5778752813582491,0.8,1.0,1.0,0.7978243857009885,0.1878329581890012,0.8001736802685522,0.875,1.0,0.2382615347721177,0.7142857142857143,1926.3392305011525,0.0,False
15,sup_inf_attribute,0.6790555125067644,0.6443180173471047,1.0,1.0,0.9057979793104504,0.3895768399514825,0.8580298276529107,0.875,1.0,0.2957227241220213,0.8571428571428572,1793.678884785915,2.28,True
15,sup_inf_doubly,0.6220146957299322,0.7282494551459145,1.0,1.0,0.9523200606234882,0.3589584209194539,0.8753268243976806,0.875,1.0,0.3057225439779067,0.5714285714285714,1785.5772354062622,2.31,True
15,dim_draw,0.5608877714519009,0.8333333333333336,1.0,1.0,0.7586003559306363,0.2336784064716542,0.7958121107449004,0.6666666666666666,1.0,0.1666666666666666,0.7142857142857143,1966.3244004685075,1.16,True
15,dim_flux,0.6174553640210829,0.7379705786664396,1.0,1.0,0.9372786389130678,0.3444150310460389,0.8706525391254014,0.875,1.0,0.2843350174949889,0.8571428571428572,1788.360942092839,2.28,True
16,hand_drawn,0.4375,0.625,1.0,1.0,0.7728431410975932,0.375,0.8004042396100421,0.7647058823529411,1.0,0.25,0.5714285714285714,1959.316130767968,0.0,True
16,sup_inf_attribute,0.6552418680287959,0.8859700601690839,1.0,1.0,0.8950296809427815,0.3557469621683649,0.8643121257007504,0.875,1.0,0.2565438388196492,0.5714285714285714,1448.4553781087563,3.66,True
16,sup_inf_doubly,0.6348500442743561,0.9596046881739496,1.0,1.0,0.9320230026370548,0.3346620681868658,0.8892263769066187,0.875,1.0,0.3264096513439576,0.8571428571428572,1553.6956822870757,2.77,True
16,dim_draw,0.5995187351404776,0.8333333333333336,1.0,1.0,0.7379252045835127,0.2481073756598062,0.8030356326436042,0.6666666666666666,1.0,0.1666666666666666,0.7142857142857143,1818.9607528287731,1.64,True
16,dim_flux,0.6387970378334258,0.9454180229021354,1.0,1.0,0.923883730338758,0.2855417539755013,0.8865627253658452,0.875,1.0,0.3207740571039205,0.8571428571428572,1573.7253426570292,2.65,True
17,hand_drawn,0.625,1.0,1.0,1.0,0.823529411764706,0.0,0.7982446839904773,0.875,1.0,0.2236067977499789,0.7142857142857143,1808.1677528288021,0.0,True
17,sup_inf_attribute,0.6580539245712997,0.9375829799230924,1.0,1.0,0.841380727426635,0.2008458052594256,0.8106929927690456,0.6666666666666666,1.0,0.2866491504989847,0.7142857142857143,1680.9124101065952,1.70,True
17,sup_inf_doubly,0.5994307189964116,0.8885849763574223,1.0,1.0,0.9109031519222912,0.3034482038880813,0.8277579362185257,0.875,1.0,0.3602879710576834,0.7142857142857143,1590.8180885608544,1.54,True
17,dim_draw,0.5608877714519009,0.9999999999999998,1.0,1.0,0.7677302629753899,0.1545238547543068,0.8060249814041114,0.5,1.0,0.2963744891819094,0.5714285714285714,1804.5038534409778,1.67,True
17,dim_flux,0.5897447556671419,0.8589498630005197,1.0,1.0,0.91653628659464,0.3057993481251417,0.8282470252358112,0.875,1.0,0.3611453311897279,0.7142857142857143,1608.2591857444338,1.64,True
18,hand_drawn,0.6666666666666667,1.0,1.0,1.0,0.859375,0.0,0.8216699198992292,0.6363636363636364,1.0,0.3535533905932738,0.7142857142857143,2683.2659212477233,0.0,True
18,sup_inf_attribute,0.7127751933466073,0.9206044124373396,1.0,1.0,0.9444901884958534,0.2409526467806715,0.8626203731838267,0.8,1.0,0.3735719230390508,0.8571428571428572,2494.8693699040255,2.09,True
18,sup_inf_doubly,0.6951425613389053,0.9133760875032182,1.0,1.0,0.9574571891920514,0.2370981637658975,0.8698419941122064,0.8,1.0,0.3760137959695956,0.8571428571428572,2504.621334102674,1.97,True
18,dim_draw,0.6293616132761213,0.9999999999999998,1.0,1.0,0.8299256391292523,0.0934664439471479,0.8115991289034333,0.6363636363636364,1.0,0.2568848919569542,0.7142857142857143,2761.406947715715,1.32,True
18,dim_flux,0.6982426318687784,0.9245694560050748,1.0,1.0,0.9549849614522,0.2256447632907436,0.8691046382323597,0.8,1.0,0.3720821783958464,0.8571428571428572,2504.548727667267,1.85,True
19,hand_drawn,0.375,1.0,1.0,1.0,0.7492123302924697,0.4285714285714286,0.7084799424025126,0.3,1.0,0.3333333333333333,0.6,1281.7637134554247,0.0,True
19,sup_inf_attribute,0.4715498440117879,0.7844625485128675,1.0,1.0,0.7371355936742366,0.6103687034262782,0.6331741590595661,0.3,1.0,0.2245449664268703,0.6,1509.2237910759936,1.97,True
19,sup_inf_doubly,0.4330447300076278,0.7728234826046745,1.0,1.0,0.7200306860764624,0.5195041074623592,0.6896322359051008,0.3,1.0,0.2379776171885148,0.6,1153.3261521406155,0.80,True
19,dim_draw,0.4182869075644565,0.8333333333333334,1.0,1.0,0.7287628226053364,0.4945324305744102,0.6809966125009244,0.3,1.0,0.1666666666666666,0.6,1222.8214492419502,0.83,True
19,dim_flux,0.3776284590776043,0.9473774934782078,1.0,1.0,0.7432350381809074,0.4485595254406496,0.7003411077228312,0.3,1.0,0.2633802205466675,0.6,1153.769792344678,0.32,True
20,hand_drawn,0.1169686955660542,0.875,1.0,1.0,0.7257614042309944,0.2889895651886847,0.7083366290088497,0.5,1.0,0.2499999999999999,0.5714285714285714,2023.5018857125574,0.0,True
20,sup_inf_attribute,0.3352117420328989,0.8941443853107687,1.0,1.0,0.7746546028391377,0.356858824586603,0.7310644558898615,0.5,1.0,0.2450510748096549,0.7142857142857143,1786.7468831326619,2.99,True
20,sup_inf_doubly,0.4223164826081397,0.9533183234245332,1.0,1.0,0.8947887157594268,0.4815564064541845,0.8079845021450847,0.6666666666666666,1.0,0.3736311436027875,0.7142857142857143,1486.0563147647395,3.44,True
20,dim_draw,0.2610724405650344,0.9999999999999998,1.0,1.0,0.729250808675739,0.2974407226944462,0.6940414563479171,0.5789473684210527,1.0,0.1643989873053573,0.7142857142857143,1860.1208767574533,1.71,True
20,dim_flux,0.3317686152779089,0.9647005382419236,1.0,1.0,0.8648616542558369,0.373389980820593,0.7950002681821411,0.7647058823529411,1.0,0.3685067282420813,0.7142857142857143,1524.8990290793836,3.05,True
21,hand_drawn,0.5625,0.6666666666666666,1.0,1.0,0.7827223434888865,0.4,0.7487722534904142,0.5,1.0,0.1666666666666666,0.7142857142857143,3309.973385166488,0.0,True
21,sup_inf_attribute,0.7369831990066269,0.736812567972142,1.0,1.0,0.8786848704800009,0.586115286317567,0.7761417992298544,0.6363636363636364,1.0,0.272597342156594,0.7142857142857143,2629.001339727454,1.99,True
21,sup_inf_doubly,0.725285372080068,0.8742311380427565,1.0,1.0,0.8466892579090491,0.5243272319186445,0.7881105144676153,0.6363636363636364,1.0,0.2798197679137242,0.8571428571428572,2579.1186626816416,2.12,True
21,dim_draw,0.5963754264756498,0.8749999999999999,1.0,1.0,0.7890657764503898,0.2361337882406933,0.747443597405036,0.5652173913043478,1.0,0.125,0.7142857142857143,2816.6930417992894,2.15,True
21,dim_flux,0.7268600512454773,0.8804269862880553,1.0,1.0,0.8476616456618136,0.5224692132811846,0.7882465786118497,0.6363636363636364,1.0,0.2816528517960242,0.8571428571428572,2569.345876031399,2.20,True
22,hand_drawn,0.2951672353008664,1.0,1.0,1.0,0.8726779962499649,0.2951672353008665,0.6910477527347507,0.1666666666666666,1.0,0.3333333333333333,0.6,1526.098143786741,0.0,True
