lattice,algo,AR,Asp,CA,EC,EL,EO,KSM,NP,NEO,NR,NU
19,dim_draw_double,0.37762845907760434,0.9473774934782078,1.0,1.0,0.7432350381809074,0.4485595254406496,0.7003411077228312,0.3,1.0,0.2633802205466675,0.6
20,hand_drawn,0.11696869556605427,0.875,1.0,1.0,0.7257614042309944,0.2889895651886847,0.7083366290088497,0.5,1.0,0.24999999999999994,0.5714285714285714
20,sup_inf_attribute,0.33521174203289894,0.8941443853107687,1.0,1.0,0.7746546028391377,0.356858824586603,0.7310644558898615,0.5,1.0,0.24505107480965493,0.7142857142857143
20,sup_inf_double,0.4223164826081397,0.9533183234245333,1.0,1.0,0.8947887157594268,0.4815564064541845,0.8079845021450847,0.6666666666666666,1.0,0.37363114360278754,0.7142857142857143
20,dim_draw,0.2610724405650344,0.9999999999999998,1.0,1.0,0.729250808675739,0.2974407226944462,0.6940414563479171,0.5789473684210527,1.0,0.16439898730535737,0.7142857142857143
20,dim_draw_double,0.3317686152779089,0.9647005382419236,1.0,1.0,0.8648616542558369,0.37338998082059305,0.7950002681821411,0.7647058823529411,1.0,0.3685067282420813,0.7142857142857143
21,hand_drawn,0.5625,0.6666666666666666,1.0,1.0,0.7827223434888865,0.4,0.7487722534904142,0.5,1.0,0.1666666666666666,0.7142857142857143
21,sup_inf_attribute,0.7369831990066269,0.736812567972142,1.0,1.0,0.8786848704800009,0.586115286317567,0.7761417992298544,0.6363636363636364,1.0,0.27259734215659404,0.7142857142857143
21,sup_inf_double,0.725285372080068,0.8742311380427565,1.0,1.0,0.8466892579090491,0.5243272319186445,0.7881105144676153,0.6363636363636364,1.0,0.2798197679137242,0.8571428571428572
21,dim_draw,0.5963754264756498,0.8749999999999999,1.0,1.0,0.7890657764503898,0.2361337882406933,0.747443597405036,0.5652173913043478,1.0,0.12500000000000008,0.7142857142857143
21,dim_draw_double,0.7268600512454773,0.8804269862880553,1.0,1.0,0.8476616456618136,0.5224692132811846,0.7882465786118497,0.6363636363636364,1.0,0.28165285179602423,0.8571428571428572
22,hand_drawn,0.2951672353008664,1.0,1.0,1.0,0.8726779962499649,0.2951672353008665,0.6910477527347507,0.16666666666666666,1.0,0.3333333333333333,0.6
22,sup_inf_attribute,0.4005326139425045,0.8348888232682944,1.0,1.0,0.784121706632823,0.40815736187795937,0.6453102121727826,0.4,1.0,0.28897377883169273,0.6
22,sup_inf_double,0.3579140731489322,0.7178555200999734,1.0,1.0,0.8147329712131023,0.3579140731489323,0.6796020069055346,0.2727272727272727,1.0,0.29170763915680054,0.6
22,dim_draw,0.3154779935709219,0.8333333333333334,1.0,1.0,0.8447498499149687,0.3154779935709222,0.6907013390508767,0.2727272727272727,1.0,0.33333333333333315,0.8
22,dim_draw_double,0.38049866661214904,0.7390317146115657,1.0,1.0,0.8148448538480447,0.38049866661216125,0.6776261524893785,0.2727272727272727,1.0,0.2586538240635819,0.6
23,hand_drawn,0.375,0.6666666666666666,1.0,1.0,0.8590692997500945,0.4285714285714286,0.782990370500236,0.3684210526315789,1.0,0.3333333333333333,0.6
23,sup_inf_attribute,0.5028198020697592,0.6536129516868849,1.0,1.0,0.8411968782889209,0.5737635566149751,0.7322008366567903,0.4444444444444444,1.0,0.24023792782913206,0.6
23,sup_inf_double,0.4177678113162282,0.7123596769425421,1.0,1.0,0.8596321227712771,0.4815554135929605,0.7784466004757828,0.5294117647058824,1.0,0.28046678838489586,0.6
23,dim_draw,0.375,0.8,1.0,1.0,0.8037542076411595,0.4285714285714286,0.769301666990402,0.3684210526315789,1.0,0.19999999999999998,0.6
23,dim_draw_double,0.4383342464300616,0.7040049503215097,1.0,1.0,0.8637367266422551,0.4851969779344444,0.7703384534101101,0.5294117647058824,1.0,0.2816894152886033,0.6
24,hand_drawn,0.5625,1.0,1.0,1.0,0.90228625680125,0.2222222222222222,0.7690823238023475,0.5238095238095238,1.0,0.3162277660168379,0.7142857142857143
24,sup_inf_attribute,0.6318581457952601,0.8244738441216842,1.0,1.0,0.8605218381163825,0.3644819535285633,0.7600282883921523,0.5238095238095238,1.0,0.20791409561246127,0.7142857142857143
24,sup_inf_double,0.5828422662124919,0.9095503294114441,1.0,1.0,0.8896162163417781,0.2606732855987617,0.7754842898960447,0.6,1.0,0.2607871043546859,0.7142857142857143
24,dim_draw,0.46782298272957357,0.9999999999999998,1.0,1.0,0.8025113917588065,0.2627203510738101,0.7757785218711961,0.5238095238095238,1.0,0.29637448918190945,0.7142857142857143
24,dim_draw_double,0.5837975280033352,0.9102839870444167,1.0,1.0,0.8871518081775296,0.2938944361140281,0.7793362091931594,0.6,1.0,0.25664543903371406,0.7142857142857143
25,hand_drawn,0.20483276469913358,1.0,1.0,1.0,0.7729483253898413,0.3788517254886963,0.6707145524354283,0.28,1.0,0.3333333333333333,0.5714285714285714
25,sup_inf_attribute,0.29449118977315913,0.9996302270046284,1.0,1.0,0.8028666921456525,0.4672700487888384,0.6723964871174232,0.3333333333333333,1.0,0.23775723573909543,0.7142857142857143
25,sup_inf_double,0.35197142707207774,0.8393436026426611,1.0,1.0,0.8424024438050352,0.41376615610722667,0.698973141033689,0.3333333333333333,1.0,0.3026190275773438,0.7142857142857143
25,dim_draw,0.31547799357092254,0.8571428571428571,1.0,1.0,0.7688468940687502,0.30657221510460086,0.6757005111179026,0.391304347826087,1.0,0.2568848919569542,0.5714285714285714
25,dim_draw_double,0.36372904518561755,0.8515498694486232,1.0,1.0,0.8533127224200111,0.41909830926305824,0.69748430078251,0.391304347826087,1.0,0.30802673869191266,0.8571428571428572
26,hand_drawn,0.5,0.5,1.0,1.0,0.8739280816353336,0.33333333333333337,0.9362234452896204,0.8461538461538461,1.0,0.25,0.6
26,sup_inf_attribute,0.4529145070565511,0.3693677735011073,1.0,1.0,0.9285875346073539,0.395986851345541,0.8947082645341401,0.8461538461538461,1.0,0.22220799919031684,0.6
26,sup_inf_double,0.45291463701202117,0.36936787702753116,1.0,1.0,0.9285875186833163,0.39591298702654465,0.8947082682599217,0.8461538461538461,1.0,0.22220801836954396,0.6
26,dim_draw,0.3743340836219975,0.4,1.0,1.0,0.8114195153035549,0.5008878885040031,0.8754947639142113,0.8461538461538461,1.0,0.19999999999999998,0.6
26,dim_draw_double,0.45291469326517164,0.3693679523416487,1.0,1.0,0.9285875955575003,0.3961137423131045,0.8947083146151208,0.8461538461538461,1.0,0.2222080623092239,0.6
27,hand_drawn,0.75,0.5,1.0,1.0,1.0,0.0,0.9041281895891493,0.875,1.0,0.3535533905932738,0.7142857142857143
27,sup_inf_attribute,0.6162696839451927,0.3766463664316492,1.0,1.0,0.9999999999570128,0.17830708807425566,0.9001657587429268,0.875,1.0,0.3129359090733677,0.8571428571428572
27,sup_inf_double,0.6162697025602428,0.376642657314812,1.0,1.0,0.9999999811992756,0.17830708158543662,0.9001657595361228,0.875,1.0,0.31293590268667126,0.8571428571428572
27,dim_draw,0.5615011254329967,0.3333333333333334,1.0,1.0,1.0,0.2513318327560047,0.8893756762880818,0.875,1.0,0.3004626062886657,0.7142857142857143
27,dim_draw_double,0.6162696838338323,0.3764512355297769,1.0,1.0,0.9999999999999998,0.17830708822155672,0.9001657587249207,0.875,1.0,0.3129359090660159,0.7142857142857143
28,hand_drawn,0.5,0.625,1.0,1.0,0.7728431410975932,0.375,0.8004042396100421,0.7647058823529411,1.0,0.25,0.7142857142857143
28,sup_inf_attribute,0.7304883553811616,0.858536505763038,1.0,1.0,0.9123494970107003,0.30935340348022644,0.8634094227501864,0.875,1.0,0.29316535313257497,0.5714285714285714
28,sup_inf_double,0.6579755070444211,0.9639680762186311,1.0,1.0,0.9201862132362253,0.2815068334280224,0.8852403434389398,0.875,1.0,0.31115755255883754,0.8571428571428572
